Date,Close,Volume
2024-11-15,53500,46774485
2024-11-18,56700,48095234
2024-11-19,56300,31539632
2024-11-20,55300,20864667
2024-11-21,56400,19096850
2024-11-22,56000,15281543
2024-11-25,57900,36237325
2024-11-26,58300,23209405
2024-11-27,56300,21808387
2024-11-28,55500,20001134
2024-11-29,54200,24513531
2024-12-02,53600,22044867
2024-12-03,53600,23374603
2024-12-04,53100,29004766
2024-12-05,53700,23588277
2024-12-06,54100,22861874
2024-12-09,53400,26227680
2024-12-10,54000,20783970
2024-12-11,54000,14565947
2024-12-12,55900,33476698
2024-12-13,56100,15908823
2024-12-16,55600,15277277
2024-12-17,54200,20215230
2024-12-18,54900,13698937
2024-12-19,53100,22481925
2024-12-20,53000,24674774
2024-12-23,53500,13672650
2024-12-24,54400,11634677
2024-12-26,53600,10517075
2024-12-27,53700,10747196
2024-12-30,53200,12624702
